Lake_Name,Year,Month,Target_NDCI,Chl_A_Proxy,Turbidity_NDTI,NDWI_Shallow_Index,Surface_Temp_C,Air_Temp_C,Dewpoint_Temp_C,Rainfall_mm,Wind_Speed,Solar_Radiation,Evaporation,Runoff,Dynamic_Soil_Moisture,Static_Soil_Clay_Pct,Static_Soil_pH
Mettur_Dam,2016,1,0.185537498,1.45560722,0.003380095,-0.188799191,31.42145013,23.8869903,16.43176209,8.485504832,1.014018081,,,,0.188267821,27.82364711,6.366748522
Mettur_Dam,2016,2,0.173187569,1.418928314,0.009207783,-0.182104954,36.35304048,26.53104503,16.36611387,5.592549048,0.89478247,,,,0.159635434,27.82364711,6.366748522
Mettur_Dam,2016,3,0.162448636,1.387913251,0.025581255,-0.187251741,45.35691344,29.30616384,17.40791209,9.651674302,0.943811365,,,,0.157224737,27.82364711,6.366748522
Mettur_Dam,2016,4,0.165827977,1.397587004,0.024327211,-0.189391159,41.87262738,31.68022194,18.98143328,9.901075047,1.02409314,,,,0.15894627,27.82364711,6.366748522
Mettur_Dam,2016,5,0.163802529,1.391779538,0.024057444,-0.187122585,40.36011866,29.98989358,21.1325656,277.6827784,0.567306063,,,,0.211527773,27.82364711,6.366748522
Mettur_Dam,2016,8,0.226449085,1.585479458,0.003755061,-0.230008563,25.61457859,27.12009656,20.15876925,124.1431956,2.061810408,,,,0.224752734,27.82364711,6.366748522
Mettur_Dam,2016,11,0.18477547,1.453311852,0.014670655,-0.198906933,36.40564912,26.82905848,15.88887181,20.1109232,0.98541253,,,,0.180294249,27.82364711,6.366748522
Mettur_Dam,2016,12,0.176101965,1.427484851,0.006707679,-0.182593958,33.32466153,24.47010404,16.94435081,35.90402952,0.985204703,,,,0.220860881,27.82364711,6.366748522
Mettur_Dam,2017,1,0.155893833,1.369370203,0.017635864,-0.173053917,34.77915284,24.48803191,15.51171437,16.13211023,1.237555783,,,,0.172457398,27.82364711,6.366748522
Mettur_Dam,2017,2,0.151621525,1.357438405,0.02227789,-0.173313994,36.60014455,26.24238784,12.38160016,8.900984595,1.095125501,,,,0.164111069,27.82364711,6.366748522
Mettur_Dam,2017,3,0.144630021,1.338169504,0.020881126,-0.165012802,39.64964665,28.54984128,17.5612116,37.40614146,0.887380194,,,,0.1865453,27.82364711,6.366748522
Mettur_Dam,2017,4,0.141052062,1.328429827,0.027061127,-0.167473936,45.10963815,31.61311889,17.52853305,36.21884485,0.460553126,,,,0.159230974,27.82364711,6.366748522
Mettur_Dam,2017,5,0.18195655,1.44485791,0.008289622,-0.189959646,33.07369653,29.95005744,21.3287143,191.4996692,0.530153557,,,,0.227452493,27.82364711,6.366748522
Mettur_Dam,2017,6,0.243973106,1.645408538,0.004251706,-0.247967595,44.24554165,27.132863,21.77294299,87.73595981,1.37651372,,,,0.278230604,27.82364711,6.366748522
Mettur_Dam,2017,7,0.166836435,1.400489033,0.021793318,-0.187946395,41.39639592,27.74163723,20.09541379,32.81621167,2.093477158,,,,0.204602539,27.82364711,6.366748522
Mettur_Dam,2018,1,0.172833231,1.417892106,0.012503874,-0.18493744,33.4275509,24.21710874,14.97529904,7.749611512,0.929141952,,,,0.169589791,27.82364711,6.366748522
Mettur_Dam,2018,2,0.149928017,1.352741933,0.023996727,-0.173301244,39.09435051,25.22035218,14.66142925,8.427376304,0.988036263,,,,0.180713063,27.82364711,6.366748522
Mettur_Dam,2018,3,0.153720443,1.363285257,0.023193204,-0.176285143,41.01197987,28.04635693,15.88656213,36.18003345,0.605839186,,,,0.175567053,27.82364711,6.366748522
Mettur_Dam,2018,4,0.153930325,1.363871509,0.023448718,-0.176741101,43.21826349,30.60870296,18.62534589,30.99930621,0.961226109,,,,0.163866531,27.82364711,6.366748522
Mettur_Dam,2018,5,0.241278565,1.636013572,-0.00434462,-0.237182575,34.74416758,28.6071405,22.12477168,345.0762116,0.19434601,,,,0.251354853,27.82364711,6.366748522
Mettur_Dam,2018,9,0.197946126,1.493598079,0.003197956,-0.201016833,35.2680581,27.03048041,20.27882106,154.2932812,0.764534349,,,,0.238693598,27.82364711,6.366748522
Mettur_Dam,2018,10,0.244935994,1.64878207,-0.029434838,-0.217066127,34.80030201,25.72911872,20.44430504,171.4764739,0.346600486,,,,0.298255121,27.82364711,6.366748522
Mettur_Dam,2019,1,0.176157662,1.427648967,0.009517302,-0.185364193,32.47811875,24.05073817,13.26299609,8.635813951,1.106421147,,,,0.172676866,27.82364711,6.366748522
Mettur_Dam,2019,2,0.157638637,1.374277937,0.020870721,-0.177923982,38.6275635,27.22205015,16.03664015,10.65289798,0.852180707,,,,0.170191402,27.82364711,6.366748522
Mettur_Dam,2019,3,0.150448684,1.354183865,0.024531578,-0.174336829,41.04455371,29.77097935,15.16919225,6.577771278,1.145441048,,,,0.159218614,27.82364711,6.366748522
Mettur_Dam,2019,4,0.148942752,1.350018175,0.029929697,-0.178078609,44.50119203,30.55983503,18.04361269,45.71532566,0.925134877,,,,0.186073897,27.82364711,6.366748522
Mettur_Dam,2019,5,0.191914116,1.474984454,0.009327722,-0.200882234,33.74296364,30.70523632,21.22029067,166.4257286,0.528742335,,,,0.187878742,27.82364711,6.366748522
Mettur_Dam,2019,11,0.268793371,1.735204963,-0.018157482,-0.251865145,36.06793133,25.06100237,21.07374613,81.66760609,0.847955383,,,,0.313342137,27.82364711,6.366748522
Mettur_Dam,2019,12,0.235122035,1.614796203,-0.006812995,-0.228675351,31.73730923,23.52830129,19.26145638,27.23068731,1.358659879,,,,0.283901748,27.82364711,6.366748522
Mettur_Dam,2020,1,0.183671253,1.449993347,0.008888763,-0.192246152,34.16794907,24.86738444,17.07234519,11.39220583,0.814613916,,,,0.192370384,27.82364711,6.366748522
