Lake_Name,Year,Month,Target_NDCI,Air_Temp_C,Surface_Temp_C,Rainfall_mm,Solar_Radiation,Wind_Speed,Lagged_NDTI,Lagged_Air_Temp_C,Lagged_Surface_Temp_C,Lagged_Wind_Speed
Veeranam_Lake,2026,1,0.388217997,23.40254229,24.48753695,49.82576728,,2.681232799,0.174458774,24.03517478,24.29921182,2.569741254
Veeranam_Lake,2026,2,0.174467934,24.77220933,26.61463054,12.9065038,,2.171544152,0.114668387,23.40254229,24.48753695,2.681232799
Veeranam_Lake,2026,3,0.340878388,27.32834686,28.58931034,15.88813221,,1.303958443,0.085101776,24.77220933,26.61463054,2.171544152
Veeranam_Lake,2026,4,0.191783816,30.59872358,31.04270936,10.88572863,,1.725062203,0.081608521,27.32834686,28.58931034,1.303958443
Veeranam_Lake,2026,5,0.220579622,27.23544986,28.87044306,82.18299245,,1.290500699,-0.047164048,30.59872358,31.04270936,1.725062203
Bhavanisagar,2024,1,0.066712148,24.04286433,26.3504878,27.08694184,,0.55482736,0.102586624,24.06169082,26.07185366,0.247061599
Bhavanisagar,2024,2,0.078053563,26.12101451,29.05234146,3.420371056,,0.468121762,0.137094587,24.04286433,26.3504878,0.55482736
Bhavanisagar,2024,3,0.097236144,28.88040638,33.38887805,7.430261612,,0.771667293,0.191826653,26.12101451,29.05234146,0.468121762
Bhavanisagar,2024,4,0.141170218,30.74742506,36.84126829,8.576439857,,0.63121279,-0.008791977,28.88040638,33.38887805,0.771667293
Bhavanisagar,2024,5,0.150178865,28.1059094,31.59526829,256.0549369,,0.211373401,-0.094863411,30.74742506,36.84126829,0.63121279
Bhavanisagar,2024,6,0.15411909,26.1858061,32.92004878,15.58927437,,0.078983844,-0.086641426,28.1059094,31.59526829,0.211373401
Bhavanisagar,2024,9,0.057417355,25.90263038,28.04956098,21.70125872,,0.367043571,0.102586624,25.48612823,26.55780488,0.128832582
Bhavanisagar,2024,12,0.089910192,23.20557507,25.76229268,59.63932097,,0.078592799,0.102586624,23.77095494,25.19107317,0.169837576
Bhavanisagar,2025,1,0.028568632,22.56750877,24.33390244,10.25018418,,0.271729636,0.234391058,23.20557507,25.76229268,0.078592799
Bhavanisagar,2025,2,0.020509584,24.90039953,27.14502439,3.680024505,,0.393978015,0.279660103,22.56750877,24.33390244,0.271729636
Bhavanisagar,2025,3,0.05947577,27.09156337,29.03268293,42.65087867,,0.359968737,0.272664293,24.90039953,27.14502439,0.393978015
Bhavanisagar,2025,4,0.109969236,28.22911913,28.41692683,42.82881176,,0.200317357,0.211287032,27.09156337,29.03268293,0.359968737
Bhavanisagar,2025,5,0.125742894,27.06836951,30.42063415,255.3571959,,0.187983577,0.046944193,28.22911913,28.41692683,0.200317357
Bhavanisagar,2025,8,0.05548215,24.73120401,25.17970732,72.85024691,,0.416113264,0.102586624,25.02571484,26.23941463,0.637598691
Bhavanisagar,2025,9,0.062952159,25.1673715,27.24697561,82.91543972,,0.378121438,0.225777031,24.73120401,25.17970732,0.416113264
Bhavanisagar,2025,10,0.078759783,24.39081166,26.57663415,252.3358803,,0.160940671,0.235143212,25.1673715,27.24697561,0.378121438
Bhavanisagar,2025,11,0.046393996,23.58520658,26.6397561,71.73572397,,0.247354495,0.117224048,24.39081166,26.57663415,0.160940671
Bhavanisagar,2025,12,0.007848526,22.41833117,25.26531707,14.38884115,,0.07600534,0.170111529,23.58520658,26.6397561,0.247354495
Bhavanisagar,2026,1,0.024546966,22.48422439,24.43468293,19.85970998,,0.256493805,0.169773475,22.41833117,25.26531707,0.07600534
Bhavanisagar,2026,2,0.119956591,24.37625974,26.24946341,7.591132402,,0.320403888,0.196654377,22.48422439,24.43468293,0.256493805
Bhavanisagar,2026,3,0.0954728,27.24918491,28.77336585,17.8665179,,0.359240575,0.284177447,24.37625974,26.24946341,0.320403888
Bhavanisagar,2026,4,0.088459117,29.47264122,31.34560976,15.45739776,,0.277678771,0.159053797,27.24918491,28.77336585,0.359240575
Bhavanisagar,2026,5,0.097890876,27.23544986,29.96380488,82.18299245,,1.290500699,0.082126802,29.47264122,31.34560976,0.277678771
Chembarambakkam,2024,2,-0.003526207,26.36754322,27.48038835,3.323165447,,1.463518873,0.102586624,24.84437275,26.16679612,1.801923118
Chembarambakkam,2024,3,0.056520965,28.08545563,29.26543689,2.473457336,,2.064261748,0.14779828,26.36754322,27.48038835,1.463518873
Chembarambakkam,2024,4,0.001375851,30.64722432,30.90169903,2.708905727,,2.539150036,0.114852495,28.08545563,29.26543689,2.064261748
Chembarambakkam,2024,9,0.037642853,29.5972837,28.6615534,122.7155461,,1.356047898,0.102586624,28.87198855,28.3523301,2.075892782
Chembarambakkam,2024,10,0.087602136,27.65485606,28.11980583,313.7348652,,0.439890909,0.1071656,29.5972837,28.6615534,1.356047898
Chembarambakkam,2025,2,0.012693604,25.27185077,27.22296117,4.484301507,,0.968384984,0.102586624,24.18702217,24.37140777,2.428697896
Chembarambakkam,2025,3,0.003710856,27.70118251,28.90975728,10.68323112,,1.404175169,0.189617191,25.27185077,27.22296117,0.968384984
Chembarambakkam,2025,4,0.002827727,30.07068272,28.33679612,11.0934397,,1.965325186,0.17511067,27.70118251,28.90975728,1.404175169
Chembarambakkam,2025,5,0.032337191,30.65512607,29.75165049,63.09030843,,1.73953777,0.156460495,30.07068272,28.33679612,1.965325186
Chembarambakkam,2025,6,0.059845867,31.23162089,27.4361165,82.22018337,,2.606338876,0.110079136,30.65512607,29.75165049,1.73953777
Chembarambakkam,2025,7,0.097900597,30.51401447,27.65621359,74.46937436,,2.827762512,0.116045408,31.23162089,27.4361165,2.606338876
Chembarambakkam,2025,9,-0.09860294,29.15177091,27.53029126,204.7527418,,1.709831237,0.102586624,28.63905011,27.98446602,1.889855898
Chembarambakkam,2025,10,0.117196444,27.19282412,26.63941748,363.6629572,,0.140794888,0.083761514,29.15177091,27.53029126,1.709831237
Chembarambakkam,2025,11,0.035926203,26.07980294,26.10466019,206.0290951,,2.509725868,0.239422523,27.19282412,26.63941748,0.140794888
